Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aaron Ramsdale,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,27,644,3.63,1.68,2.24,1.34,-0.34,0.0,2.93,10.9,29.21,5.87,908.22,5.87,296.82,15.09,0.98,1.26,21.87,1,61.71,26.88,6.49,22.78
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,1710,6.32,1.47,4.79,1.83,0.36,0.26,5.95,15.0,30.84,3.05,1050.93,6.26,251.48,15.16,0.42,1.95,35.81,1,75.79,39.67,2.77,21.95
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,1530,4.94,1.47,3.47,1.4,-0.07,0.24,8.12,19.12,27.47,3.29,1087.16,6.29,336.11,15.24,1.12,0.35,5.8,1,70.24,42.47,7.35,19.91
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,360,2.75,0.75,2.0,0.92,0.18,0.5,3.5,12.25,27.25,3.75,961.6,4.0,229.72,12.75,0.5,0.5,6.9,1,72.73,28.57,3.92,24.33
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,990,3.64,1.27,2.36,1.4,0.13,0.45,6.91,18.36,30.27,3.91,1135.92,6.09,323.15,13.64,0.82,1.73,30.45,1,64.84,37.64,6.01,24.94
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,3.0,1.0,2.0,0.92,-0.08,0.5,1.25,3.5,21.25,3.0,547.85,6.0,142.32,5.0,0.25,1.5,31.22,1,66.67,35.71,5.0,20.44
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1980,4.0,1.27,2.77,1.22,-0.05,0.36,5.45,12.77,36.32,4.55,1171.3,3.27,136.34,11.27,0.82,1.64,30.25,1,69.25,42.68,7.28,21.12
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,450,6.6,2.2,4.0,2.42,0.22,0.0,8.4,18.8,36.8,4.4,1334.94,6.0,328.52,17.4,0.2,0.2,2.5,1,60.61,44.68,1.15,22.22
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1.0,0.0,1.0,0.1,0.1,1.0,2.0,3.0,14.0,1.0,379.4,8.0,246.4,1.0,0.0,4.0,84.8,1,100.0,66.67,0.0,10.0
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1675,3.22,1.13,2.1,1.13,0.0,0.38,2.69,8.38,33.53,4.67,985.41,2.26,66.94,12.47,0.97,1.07,18.52,1,65.22,32.1,7.78,22.89
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,1530,5.53,1.88,3.71,1.74,-0.15,0.0,5.47,19.18,22.59,4.76,908.89,8.88,495.39,17.76,0.82,0.12,2.57,1,67.09,28.52,4.62,21.11
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,3.83,1.83,2.0,1.53,-0.3,0.0,4.83,15.67,28.83,2.83,1078.93,3.0,146.0,10.33,0.67,1.17,21.95,1,52.22,30.82,6.49,20.86
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,540,4.33,1.33,3.17,1.5,0.17,0.33,2.67,11.67,24.5,3.33,826.82,4.17,154.73,13.67,1.17,0.33,6.72,1,73.21,22.88,8.56,25.36
Andreas Linde,SWE,Häcken,UEFA Europa Conference League,GK,Goalkeeper,32,90,10.0,1.0,9.0,3.0,2.0,0.0,3.0,7.0,30.0,9.0,810.0,3.0,72.9,13.0,0.0,2.0,33.6,1,90.0,42.86,0.0,27.0
Andriy Lunin,UKR,Real Madrid,UEFA Champions League,GK,Goalkeeper,26,90,8.0,3.0,5.0,2.6,-0.4,0.0,0.0,9.0,44.0,8.0,1086.8,6.0,243.0,17.0,0.0,1.0,19.0,1,62.5,0.0,0.0,20.31
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,1438,5.38,1.63,3.82,1.62,-0.01,0.19,4.51,11.7,33.86,4.69,1093.16,4.01,143.36,17.4,0.81,1.13,22.66,1,71.0,38.55,4.66,21.38
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,540,5.5,1.83,3.67,1.37,-0.47,0.17,3.0,7.5,35.83,6.5,1024.15,2.5,94.22,15.5,0.33,0.83,13.82,1,66.73,40.0,2.13,16.62
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,1710,3.74,1.26,2.47,1.27,0.01,0.16,7.16,18.68,20.74,3.26,887.69,7.89,465.43,12.95,0.63,0.63,11.44,1,66.04,38.33,4.86,22.43
Antonis Tsiftsis,GRE,PAOK,UEFA Europa League,GK,Goalkeeper,26,180,6.0,1.5,4.5,1.85,0.35,0.5,2.5,11.0,19.5,4.0,721.5,6.0,305.6,16.0,0.5,0.5,10.85,1,75.0,22.73,3.12,23.12
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,27,1710,5.11,1.32,3.89,1.43,0.11,0.21,5.79,16.32,29.89,5.32,1041.08,6.37,324.01,15.58,2.37,0.79,11.45,1,76.13,35.48,15.21,21.3
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,360,4.0,2.0,2.0,1.2,-0.8,0.0,3.5,17.25,23.5,1.75,867.6,8.5,500.68,16.5,0.75,1.25,19.6,1,50.0,20.29,4.55,15.0
